修正検討ワード:,表記揃えワード:,要検討ワード:,注記:,,
おおいなる,大いなる,かたけれ,硬／堅／固,,
が一杯,がいっぱい,かたかろ,硬／堅／固,,
素晴らしい,すばらしい,かたかっ,硬／堅／固,,
ひじょうに,非常に,硬けれ,硬／堅／固,,
明後日,あさって,硬かろ,硬／堅／固,,
いちおう,一応,硬かっ,硬／堅／固,,
いちどに,一度に,固けれ,硬／堅／固,,
一番,いちばん,固かろ,硬／堅／固,,
一緒,いっしょ,固かっ,硬／堅／固,,
一旦,いったん,堅けれ,硬／堅／固,,
おおいに,大いに,堅かろ,硬／堅／固,,
おこない,行い,堅かっ,硬／堅／固,,
おこなう,行う,はじめ,初め／始め／はじめ,,
おこなえ,行え,はかろ,測／計／量,,
おこなお,行お,はかれ,測／計／量,,
おこなっ,行っ,はかる,測／計／量,,
おこなわ,行わ,はかり,測／計／量,,
カノジョ,彼女,はから,測／計／量,,
かんたん,簡単,はかっ,測／計／量,,
カンタン,かんたん,と言う,という／と言う,,
下さい,ください,という,という／と言う,,
様々,さまざま,つくろ,作／造／創,,
して欲し,してほし,つくれ,作／造／創,,
しにいか,しに行か,つくる,作／造／創,,
しにいき,しに行き,つくり,作／造／創,,
しにいく,しに行く,つくら,作／造／創,,
しにいけ,しに行け,つくっ,作／造／創,,
しにいこ,しに行こ,かたく,硬／堅／固,,
しにいっ,しに行っ,かたう,硬／堅／固,,
随分,ずいぶん,かたい,硬／堅／固,,
全然,ぜんぜん,かえ,変／替／代／換,,
大体,だいたい,量ろ,測／計／量,,
大抵,たいてい,量れ,測／計／量,,
たいへん,大変,量る,測／計／量,,
たしかに,確かに,量り,測／計／量,,
例えば,たとえば,量ら,測／計／量,,
のかぎり,の限り,量っ,測／計／量,,
のとおり,の通り,変え,変／替／代／換,,
はじまっ,始まっ,聞こ,聞／訊／聴,,
はじまら,始まら,聞け,聞／訊／聴,,
はじまり,始まり,聞く,聞／訊／聴,,
はじまる,始まる,聞き,聞／訊／聴,,
はじまれ,始まれ,聞か,聞／訊／聴,,
はじまろ,始まろ,聞い,聞／訊／聴,,
はじめて,初めて,聴こ,聞／訊／聴,,
はじめよ,始めよ,聴け,聞／訊／聴,,
はじめる,始める,聴く,聞／訊／聴,,
はじめれ,始めれ,聴き,聞／訊／聴,,
はじめろ,始めろ,聴か,聞／訊／聴,,
ほんとう,本当,聴い,聞／訊／聴,,
ホント,ほんとう,代え,変／替／代／換,,
全く,まったく,替え,変／替／代／換,,
滅多に,めったに,測ろ,測／計／量,,
もっとも,最も,測れ,測／計／量,,
われわれ,我々,測る,測／計／量,,
言い,　いい,測り,測／計／量,,
言う,　いう,測ら,測／計／量,,
言え,　いえ,測っ,測／計／量,,
言お,　いお,造ろ,作／造／創,,
言っ,　いっ,造れ,作／造／創,,
言わ,　いわ,造る,作／造／創,,
上がっ,あがっ,造り,作／造／創,,
上がら,あがら,造ら,作／造／創,,
上がり,あがり,造っ,作／造／創,,
上がる,あがる,創ろ,作／造／創,,
上がれ,あがれ,創れ,作／造／創,,
上がろ,あがろ,創る,作／造／創,,
上げよ,あげよ,創り,作／造／創,,
上げる,あげる,創ら,作／造／創,,
上げれ,あげれ,創っ,作／造／創,,
上げろ,あげろ,摂ろ,取／摂／採,,
あした,明日,摂れ,取／摂／採,,
あす,明日,摂る,取／摂／採,,
辺り,あたり,摂り,取／摂／採,,
入れよ,いれよ,摂ら,取／摂／採,,
入れる,いれる,摂っ,取／摂／採,,
入れれ,いれれ,訊こ,聞／訊／聴,,
入れろ,いれろ,訊け,聞／訊／聴,,
うしろ,後ろ,訊く,聞／訊／聴,,
おおき,大き,訊き,聞／訊／聴,,
お前,おまえ,訊か,聞／訊／聴,,
オマエ,おまえ,訊い,聞／訊／聴,,
おもな,主な,診ろ,見／観／診,,
おもに,主に,診れ,見／観／診,,
かえさ,返さ,診る,見／観／診,,
かえし,返し,診よ,見／観／診,,
かえす,返す,取ろ,取／摂／採,,
かえせ,返せ,取れ,取／摂／採,,
かえそ,返そ,取る,取／摂／採,,
構わ,かまわ,取り,取／摂／採,,
我慢,がまん,取ら,取／摂／採,,
ガマン,がまん,取っ,取／摂／採,,
カラダ,からだ,作ろ,作／造／創,,
頑張,がんば,作れ,作／造／創,,
きのう,昨日,作り,作／造／創,,
きょう,今日,作ら,作／造／創,,
綺麗,きれい,作っ,作／造／創,,
キレイ,きれい,採ろ,取／摂／採,,
し合い,しあい,採れ,取／摂／採,,
し合う,しあう,採る,取／摂／採,,
し合え,しあえ,採り,取／摂／採,,
し合お,しあお,採ら,取／摂／採,,
し合っ,しあっ,採っ,取／摂／採,,
し合わ,しあわ,硬く,硬／堅／固,,
し得る,しうる,硬う,硬／堅／固,,
し切っ,しきっ,固く,硬／堅／固,,
し切ら,しきら,固う,硬／堅／固,,
し切り,しきり,見ろ,見／観／診,,
し切る,しきる,見れ,見／観／診,,
し切れ,しきれ,見る,見／観／診,,
し切ろ,しきろ,見よ,見／観／診,,
し込ま,しこま,堅く,硬／堅／固,,
し込み,しこみ,堅う,硬／堅／固,,
し込む,しこむ,計ろ,測／計／量,,
し込め,しこめ,計れ,測／計／量,,
し込も,しこも,計る,測／計／量,,
し込ん,しこん,計り,測／計／量,,
し過ぎ,しすぎ,計ら,測／計／量,,
じつは,実は,計っ,測／計／量,,
しに来,しにく,観ろ,見／観／診,,
すこし,少し,観れ,見／観／診,,
既に,すでに,観る,見／観／診,,
全て,すべて,観よ,見／観／診,,
但し,ただし,換え,変／替／代／換,,
たぶん,多分,みろ,見／観／診,,
小さ,ちいさ,みれ,見／観／診,,
つづい,続い,みる,見／観／診,,
つづか,続か,みよ,見／観／診,,
つづき,続き,初め,初め／始め／はじめ,,
つづく,続く,始め,初め／始め／はじめ,,
つづけ,続け,とろ,取／摂／採,,
つづこ,続こ,とれ,取／摂／採,,
つねに,常に,とる,取／摂／採,,
とくに,特に,とり,取／摂／採,,
無かっ,なかっ,とら,取／摂／採,,
無かろ,なかろ,とっ,取／摂／採,,
無けれ,なけれ,作る,作／造／創,,
なんの,何の,効こ,効／き,,
の上,のうえ,きこ,効／き,,
入っ,はいっ,効け,効／き,,
入ら,はいら,きけ,効／き,,
入り,はいり,効く,効／き,,
入る,はいる,きく,効／き,,
入れ,はいれ,効き,効／き,,
入ろ,はいろ,きき,効／き,,
はじめ,始め,効か,効／き,,
風な,ふうな,きか,効／き,,
風に,ふうに,効い,効／き,,
風の,ふうの,きい,効／き,,
不思議,ふしぎ,硬い,硬／堅／固,,
フシギ,ふしぎ,固い,硬／堅／固,,
ふつう,普通,堅い,硬／堅／固,,
周り,まわり,やわらか,柔／軟,,
回り,まわり,軟らか,柔／軟,,
様な,ような,柔らか,柔／軟,,
様に,ように,,,,
良かっ,よかっ,,,,
良かろ,よかろ,,,,
良けれ,よけれ,,,,
分かれ,わかっ,,,,
判っ,わかっ,,,,
解っ,わかっ,,,,
分かろ,わから,,,,
判ら,わから,,,,
解ら,わから,,,,
分かっ,わかり,,,,
判り,わかり,,,,
解り,わかり,,,,
分から,わかる,,,,
判る,わかる,,,,
解る,わかる,,,,
分かる,わかれ,,,,
判れ,わかれ,,,,
解れ,わかれ,,,,
分かり,わかろ,,,,
判ろ,わかろ,,,,
解ろ,わかろ,,,,
ワタシ,わたし,,,,
ひとつ,一つ,,,,
ひとり,一人,,,,
上げ,あげ,,,,
行か,いか,,,,
行き,いき,,,,
行く,いく,,,,
行け,いけ,,,,
行こ,いこ,,,,
行っ,いっ,,,,
イヤ,いや,,,,
入れ,いれ,,,,
起こ,おこ,,,,
オレ,おれ,,,,
俺,おれ,,,,
カレ,かれ,,,,
ヶ月,か月,,,,
